Image_ID,Product_Type,Carbon_Emission_from_RM(KG CO2),Carbon_Emission_from_WDFKG CO2),Energy_Consumption_from_WDF(KwH),Water_Used_from_WDF (Litres),Carbon_Emission_from_MKG CO2),Energy_Consumption_from_M(KwH),Water_Used_from_M (Litres),Carbon_Emission_from T(KG CO2)
sports_wear_1.webp,Sportswear,18.68115504,4.228788183,28,290,9.367300141,71,492,1.129829784
sports_wear_2.webp,Sportswear,19.19119102,1.244403699,30,491,8.768079872,54,431,1.515864317
sports_wear_3.webp,Sportswear,13.92613164,2.95418161,26,465,5.73167207,72,472,1.568182264
sports_wear_4.webp,Sportswear,19.26725847,1.705038813,46,384,9.714751688,71,666,1.679286909
sports_wear_5.webp,Sportswear,13.33918524,2.650273283,34,492,4.094402967,52,540,0.705224816
sports_wear_6.webp,Sportswear,10.69716998,4.013451039,34,335,5.934694297,45,426,1.129054256
sports_wear_7.webp,Sportswear,10.30562381,2.182921717,39,413,3.004062741,65,505,1.681104048
sports_wear_8.webp,Sportswear,13.06730203,4.598624101,42,427,7.034071116,41,483,0.689041638
sports_wear_9.webp,Sportswear,12.80957141,3.052502944,27,213,7.217836382,77,613,1.020697403
sports_wear_10.webp,Sportswear,8.837934603,3.770014658,25,408,4.690012582,48,692,1.605576161
sports_wear_11.webp,Sportswear,9.048115934,1.245220189,41,238,4.999765613,48,490,0.719821382
sports_wear_12.webp,Sportswear,18.97841894,2.694548112,31,489,3.032479053,69,695,1.969484321
sports_wear_13.webp,Sportswear,8.144737093,3.279592414,48,237,4.37476604,48,548,0.603049032
sports_wear_14.webp,Sportswear,11.14087521,1.666870956,33,368,9.179030707,74,645,1.130874517
sports_wear_15.webp,Sportswear,5.63138888,1.133618834,30,448,3.877653321,78,421,1.896196812
sports_wear_16.webp,Sportswear,12.57575831,4.413346429,39,460,8.875903123,59,427,1.513048827
sports_wear_17.webp,Sportswear,18.87957544,2.949338472,20,383,9.890014595,70,654,0.829374621
sports_wear_18.webp,Sportswear,9.806115111,1.660841681,24,486,7.995824068,75,511,1.311099139
sports_wear_19.webp,Sportswear,12.75857921,4.136517824,27,487,5.833022773,73,585,1.894734257
sports_wear_20.webp,Sportswear,14.00044305,1.056320534,30,216,7.258507871,68,474,0.664177148
sports_wear_21.webp,Sportswear,10.90607169,2.65349035,30,415,7.032900736,59,519,1.839762187
sports_wear_22.webp,Sportswear,9.339668451,1.883745768,37,311,6.283056782,42,527,1.01192834
sports_wear_23.webp,Sportswear,16.10669497,4.653754546,33,234,3.304586061,67,498,1.709640387
sports_wear_24.webp,Sportswear,18.69036415,1.782928714,31,485,7.143886925,61,525,1.753157345
sports_wear_25.webp,Sportswear,5.532687201,2.074531006,49,306,8.579613393,49,525,0.852474042
sports_wear_26.webp,Sportswear,17.35310291,1.206546117,49,393,5.177231349,43,570,0.505345244
sports_wear_27.webp,Sportswear,13.32150035,4.552652274,40,394,7.903280719,43,696,1.892916431
sports_wear_28.webp,Sportswear,16.62161984,4.050891912,32,327,9.8326948,74,533,0.67619272
sports_wear_29.webp,Sportswear,9.393982664,3.975658398,44,213,6.162808419,72,459,1.508484532
sports_wear_30.webp,Sportswear,5.687553732,3.395136054,25,399,3.152832968,57,498,1.374464381
sports_wear_31.webp,Sportswear,16.42571267,3.442548767,33,354,6.319801344,61,683,1.35382802
sports_wear_32.webp,Sportswear,6.939786585,4.817176545,30,233,9.844999538,57,480,0.547639751
sports_wear_33.webp,Sportswear,10.66246209,3.426539949,25,357,9.697906093,55,626,0.979882552
sports_wear_34.webp,Sportswear,13.52357958,1.328439176,36,406,6.534097124,70,426,1.908447175
sports_wear_35.webp,Sportswear,18.79714678,4.953503459,48,208,3.35127497,59,452,1.825874645
sports_wear_36.webp,Sportswear,18.79792619,1.939828439,20,334,5.140129604,46,444,0.899876071
sports_wear_37.webp,Sportswear,11.56400587,3.354216935,29,391,6.986310116,61,430,1.930675171
sports_wear_38.webp,Sportswear,6.166187917,3.152179054,46,285,3.2210034,41,509,0.892719199
sports_wear_39.webp,Sportswear,18.7967667,1.413157288,37,351,6.005597414,50,515,1.656352208
sports_wear_40.webp,Sportswear,16.48620643,2.795454072,25,386,6.576755122,77,660,0.558460493
sports_wear_41.webp,Sportswear,8.024744292,1.450478042,33,316,8.247059353,55,437,0.628161399
sports_wear_42.webp,Sportswear,11.74724061,1.271932656,45,366,9.552540918,58,458,1.388794124
sports_wear_43.webp,Sportswear,12.43821333,3.7539067,34,442,4.726265553,55,679,0.685721143
sports_wear_44.webp,Sportswear,19.41770484,3.375365136,25,469,7.516584316,49,552,1.574771173
sports_wear_45.webp,Sportswear,9.300846918,1.700155267,46,413,7.186897245,77,632,1.630707183
sports_wear_46.webp,Sportswear,7.381272039,4.235048595,29,473,9.402769899,48,634,0.978713016
sports_wear_47.webp,Sportswear,17.94689232,1.385836527,33,255,8.806958913,62,455,1.792945402
sports_wear_48.webp,Sportswear,10.25019938,3.069938198,20,437,5.425725536,41,620,1.778064017
sports_wear_49.webp,Sportswear,17.05372839,3.39597003,20,335,5.510522462,75,622,1.095041324
sports_wear_50.webp,Sportswear,7.165915073,3.804645798,45,343,9.227684685,48,627,1.251336386
sports_wear_51.webp,Sportswear,19.89592893,3.418817757,23,456,3.946887651,46,479,1.00788895
sports_wear_52.webp,Sportswear,16.90329512,4.314670173,36,381,8.483025908,79,505,1.529288746
sports_wear_53.webp,Sportswear,6.540324866,3.732583183,36,262,4.524226116,51,471,0.501469412
sports_wear_54.webp,Sportswear,5.357149486,4.577298551,40,395,7.390021267,79,520,1.597852531
sports_wear_55.webp,Sportswear,18.2313268,4.334012622,40,263,5.105990594,58,633,0.634508466
sports_wear_56.avif,Sportswear,7.819188881,3.215006673,24,493,3.431477987,50,418,1.94862129
Fashion_1.webp,Fashion,8.248734688,4.346492436,24,389,3.700123945,67,571,1.164464555
Fashion_2.webp,Fashion,16.46596604,4.510297102,30,335,6.046914958,40,501,0.848137971
Fashion_3.webp,Fashion,13.41073791,2.230693581,44,267,3.597468513,44,650,0.602614322
Fashion_4.webp,Fashion,18.62485776,1.453357986,21,466,6.582623352,50,679,1.193154944
Fashion_5.webp,Fashion,6.402598488,1.968727578,37,421,3.043326221,53,549,0.627533906
Fashion_6.webp,Fashion,5.768193881,2.822143174,21,295,7.986888571,57,410,1.363424571
Fashion_7.webp,Fashion,8.077129967,1.642960517,20,488,6.548923248,68,415,1.410117364
Fashion_8.webp,Fashion,19.36941626,2.828659995,28,389,4.898218357,54,622,0.561456549
Fashion_9.webp,Fashion,12.1624658,1.288530975,24,443,8.716312641,59,679,0.563636956
Fashion_10.webp,Fashion,14.13287474,4.56219148,23,400,9.578120145,45,418,1.673804729
Fashion_11.webp,Fashion,17.16458152,4.47942728,38,341,7.910396046,53,462,0.770372429
Fashion_12.webp,Fashion,19.32119449,3.382618675,37,292,3.801689716,49,609,1.095810714
Fashion_13.webp,Fashion,9.739467198,4.519746078,44,442,9.312017968,62,587,1.566348357
Fashion_14.webp,Fashion,13.87091492,1.312399276,33,393,4.122568044,76,500,0.731151675
Fashion_15.webp,Fashion,13.6699843,1.698960533,49,269,8.237848122,68,679,1.328733992
Fashion_16.webp,Fashion,18.9367295,1.089026098,41,329,3.569356788,79,421,1.879575041
Fashion_17.webp,Fashion,11.87324448,4.37528236,40,497,4.443796207,55,451,1.751562624
Fashion_18.webp,Fashion,6.556960393,1.061641366,47,259,7.109383999,72,400,1.693688426
Fashion_19.webp,Fashion,19.59249903,3.514778931,37,463,4.164952766,58,428,0.763882088
Fashion_20.webp,Fashion,10.49646412,4.926560159,22,208,3.373139425,79,586,0.755495017
Fashion_21.webp,Fashion,13.71370557,1.543362291,20,202,3.079698643,63,522,0.736413939
